N,P,K,temperature,humidity,ph,rainfall,label
75,59,42,24.19,76.56,5.47,186.97,rice
95,50,42,20.14,84.7,7.5,205.48,rice
67,40,38,23.67,79.32,5.87,253.42,rice
66,42,39,23.19,82.85,5.6,241.71,rice
84,36,41,21.19,75.65,7.85,295.88,rice
92,43,36,24.79,79.4,5.37,239.42,rice
61,58,38,24.64,78.12,6.56,245.61,rice
67,59,43,26.58,83.95,6.79,290.62,rice
64,40,35,22.28,78.89,5.81,279.45,rice
74,42,40,20.99,83.02,5.22,298.43,rice
91,40,35,25.71,82.07,7.19,272.55,rice
63,44,36,26.04,81.23,5.99,187.63,rice
72,43,42,24.46,83.87,6.42,194.35,rice
89,54,41,25.4,79.94,6.57,231.3,rice
61,38,35,24.45,78.14,6.53,288.91,rice
70,45,43,21.6,75.77,5.87,199.35,rice
97,55,41,26.1,83.04,5.56,287.11,rice
82,55,44,22.23,76.1,5.68,231.25,rice
93,57,35,23.58,79.17,5.67,194.38,rice
74,59,38,23.63,82.03,6.09,296.61,rice
98,41,40,22.11,77.85,5.11,253.15,rice
80,36,38,26.36,77.4,5.43,238.73,rice
99,41,42,25.33,77.38,7.18,224.13,rice
85,51,40,20.63,83.35,5.96,202.38,rice
62,50,42,20.12,80.12,5.68,257.42,rice
67,52,39,26.56,76.38,6.02,193.62,rice
97,57,38,24.62,83.17,6.67,243.56,rice
70,37,44,26.3,81.33,6.02,221.91,rice
89,57,44,25.46,81.42,5.25,199.4,rice
96,50,35,20.71,81.64,5.02,199.3,rice
82,52,42,21.57,82.12,5.71,219.05,rice
90,51,43,24.6,80.68,5.28,224.13,rice
71,41,45,22.75,83.92,6.89,275.38,rice
80,49,40,21.37,82.22,5.84,182.92,rice
86,39,44,26.68,84.15,6.11,181.85,rice
97,46,45,26.75,83.53,5.88,226.21,rice
94,43,37,23.9,84.36,7.09,248.41,rice
64,50,45,20.98,80.18,7.63,268.89,rice
88,53,39,22.06,83.09,7.43,284.05,rice
97,48,40,25.59,81.5,7.11,275.5,rice
96,43,39,20.66,80.78,5.11,235.87,rice
82,42,41,20.21,75.37,7.47,223.22,rice
65,48,43,21.51,81.23,5.26,186.2,rice
81,49,41,25.08,84.76,6.55,218.75,rice
92,42,39,20.55,75.25,7.89,280.32,rice
88,45,37,21.1,77.5,6.65,265.75,rice
86,42,45,25.17,80.54,6.84,230.35,rice
70,44,43,20.1,76.16,5.14,184.89,rice
94,53,40,20.68,79.92,6.42,200.78,rice
77,45,41,24.45,75.45,6.12,255.1,rice
80,56,42,21.14,75.71,6.93,183.18,rice
83,59,41,22.72,81.43,6.37,245.47,rice
98,45,45,26.34,76.96,5.21,192.09,rice
61,37,42,20.5,78.19,7.53,182.79,rice
93,42,36,24.88,81.29,7.63,268.21,rice
92,42,37,25.25,83.07,7.97,229.51,rice
75,54,38,26.52,83.58,6.29,270.1,rice
90,38,44,23.54,83.26,5.96,287.46,rice
76,35,44,20.64,78.19,7.85,294.07,rice
83,51,39,22.05,78.29,7.02,270.28,rice
92,55,36,23.46,75.58,6.65,232.98,rice
96,44,36,21.0,82.62,6.85,192.13,rice
63,53,36,25.75,82.06,5.24,190.18,rice
99,44,39,25.69,84.47,7.96,270.41,rice
75,37,43,23.91,79.24,7.72,193.34,rice
80,35,40,20.39,76.19,5.35,257.91,rice
90,50,45,22.62,77.86,7.61,206.83,rice
99,35,45,20.3,83.91,6.58,299.16,rice
63,49,45,23.66,81.29,7.09,234.54,rice
85,50,44,20.32,77.81,7.85,286.83,rice
78,51,38,21.32,79.64,6.06,250.04,rice
63,59,45,24.89,80.36,5.93,277.66,rice
87,39,44,25.76,84.5,7.18,253.61,rice
77,58,44,20.32,75.26,6.13,277.27,rice
99,39,41,22.67,84.7,7.53,280.6,rice
79,45,38,20.39,83.65,7.44,299.97,rice
100,49,43,26.61,83.5,5.74,234.07,rice
65,59,41,21.6,81.72,6.85,222.98,rice
65,52,40,25.41,80.2,7.56,246.23,rice
82,57,39,20.94,75.29,7.27,254.44,rice
88,40,36,20.1,78.51,6.77,227.07,rice
77,58,38,23.6,82.84,6.19,254.65,rice
94,59,36,26.49,79.92,5.77,235.1,rice
99,47,38,24.43,77.4,5.23,195.47,rice
65,39,36,24.49,76.82,6.04,287.61,rice
79,52,37,21.35,75.41,5.51,213.43,rice
67,37,36,23.23,77.06,6.09,240.41,rice
88,36,43,24.4,75.82,7.62,290.5,rice
62,42,43,25.24,76.85,5.63,224.46,rice
79,50,39,23.24,82.47,5.11,210.29,rice
89,57,40,23.72,76.07,6.34,243.91,rice
70,42,39,20.14,78.22,5.63,219.3,rice
65,57,41,24.75,82.89,6.5,190.43,rice
81,50,42,23.02,76.28,5.85,223.57,rice
86,49,39,26.91,81.06,5.71,192.21,rice
66,41,37,21.31,77.85,5.52,287.61,rice
63,48,39,26.88,76.12,6.19,296.34,rice
95,55,38,21.2,81.69,7.79,246.81,rice
83,42,43,21.31,78.24,6.28,240.91,rice
70,38,41,22.02,80.81,5.46,237.74,rice
81,36,18,19.21,56.27,6.98,76.12,maize
92,41,22,24.84,66.91,6.21,80.59,maize
74,58,23,26.69,57.49,6.6,106.92,maize
67,37,22,23.17,71.84,5.71,99.76,maize
68,39,17,25.33,68.3,6.28,77.94,maize
95,45,23,21.95,62.54,6.19,75.07,maize
90,48,17,26.1,62.68,6.32,105.32,maize
85,38,24,23.65,61.7,5.71,99.7,maize
85,48,24,25.1,58.03,5.97,72.42,maize
90,36,21,24.86,72.54,6.01,101.06,maize
64,56,16,21.58,70.95,5.72,71.46,maize
89,53,21,24.25,65.85,5.88,77.28,maize
67,58,21,21.61,64.24,6.92,67.67,maize
83,48,21,18.16,72.44,6.9,88.26,maize
88,58,22,19.37,66.53,6.41,81.21,maize
89,58,24,22.06,57.26,6.98,101.94,maize
65,58,24,22.67,66.83,6.1,62.74,maize
73,55,15,21.0,62.96,6.31,105.99,maize
74,44,22,22.07,59.49,6.18,67.04,maize
67,47,19,26.23,62.25,6.37,91.61,maize
61,52,17,26.65,57.97,6.12,64.27,maize
100,48,21,18.6,70.0,5.81,104.9,maize
68,40,15,22.25,66.3,5.6,98.78,maize
78,48,19,21.61,66.19,5.73,69.1,maize
94,59,19,20.44,67.88,6.11,61.27,maize
66,53,22,18.24,59.44,5.85,93.59,maize
61,38,23,19.61,68.05,5.86,64.97,maize
70,53,24,25.47,62.94,6.5,70.25,maize
72,57,15,18.77,59.16,5.54,69.07,maize
83,46,24,25.36,61.84,5.89,78.98,maize
84,42,21,21.68,66.04,6.15,74.72,maize
98,54,16,25.82,64.75,6.84,99.99,maize
77,36,18,22.87,67.67,5.89,66.97,maize
93,60,20,19.55,60.45,5.53,105.71,maize
65,49,18,22.99,68.03,6.74,70.32,maize
60,38,24,25.87,66.95,6.4,93.25,maize
67,58,19,21.45,65.38,5.57,68.31,maize
90,37,21,20.21,62.79,5.93,77.78,maize
89,42,21,22.28,68.27,6.91,96.63,maize
69,36,18,23.36,56.03,6.24,89.84,maize
73,54,16,18.68,69.56,6.24,94.42,maize
77,41,23,25.19,68.89,5.91,89.51,maize
74,37,24,19.23,74.0,6.17,69.26,maize
82,57,22,25.26,68.18,6.54,102.46,maize
70,47,17,26.89,73.88,5.56,95.28,maize
97,40,21,26.24,55.68,6.55,74.87,maize
97,59,24,22.27,72.24,6.77,75.96,maize
93,36,21,20.07,57.41,5.62,94.81,maize
74,53,16,20.84,65.79,6.69,75.94,maize
85,57,21,20.1,55.49,6.81,61.06,maize
95,48,24,25.19,74.96,6.03,98.36,maize
76,47,21,25.86,74.68,6.65,80.89,maize
77,53,17,18.99,62.09,5.93,74.82,maize
69,36,15,26.89,63.56,6.08,93.98,maize
69,59,23,18.8,63.35,6.82,107.24,maize
79,50,17,26.92,59.63,6.91,92.48,maize
84,48,17,19.59,59.41,5.78,98.98,maize
74,36,25,25.95,73.56,6.99,68.69,maize
76,54,22,19.39,71.32,5.84,71.19,maize
81,50,21,18.82,72.55,5.9,66.48,maize
96,59,24,25.29,68.1,6.33,64.35,maize
76,44,18,24.51,64.92,5.62,71.01,maize
87,37,24,22.46,64.61,6.39,101.23,maize
74,52,21,20.4,72.57,6.7,92.92,maize
94,57,22,25.53,68.95,6.52,90.93,maize
90,39,24,25.85,55.58,6.74,66.44,maize
73,54,17,25.36,71.64,6.26,60.32,maize
71,50,25,23.69,60.2,6.45,87.0,maize
91,38,23,22.87,74.26,6.01,91.63,maize
97,38,24,24.19,56.36,5.95,95.41,maize
63,50,18,23.59,55.91,6.81,108.67,maize
99,54,16,24.82,55.49,5.53,76.18,maize
80,54,22,22.01,60.47,7.0,81.31,maize
78,39,23,24.24,59.42,5.62,94.02,maize
86,42,25,19.36,63.65,6.92,80.99,maize
86,45,18,26.86,63.19,6.84,71.5,maize
69,36,22,21.32,72.29,6.21,108.41,maize
67,57,23,24.94,71.9,6.64,91.31,maize
65,36,24,23.55,70.93,6.22,65.87,maize
65,52,19,19.8,64.83,5.6,89.1,maize
71,55,18,22.1,55.23,5.61,79.62,maize
79,50,18,24.25,72.2,6.67,61.98,maize
79,38,17,26.88,57.85,6.25,90.91,maize
88,49,15,20.94,65.35,5.63,77.53,maize
61,37,19,19.19,66.35,6.53,100.03,maize
68,39,16,23.73,69.13,5.55,106.81,maize
62,49,22,25.84,69.28,6.7,76.97,maize
93,37,24,22.93,71.35,6.18,92.18,maize
81,53,16,18.54,59.94,5.74,103.59,maize
69,59,18,19.64,70.79,6.49,84.91,maize
82,53,17,26.97,74.5,6.48,69.98,maize
87,37,15,20.32,64.25,6.8,96.36,maize
90,46,18,21.34,74.75,5.56,103.35,maize
83,46,22,22.38,72.47,6.85,81.09,maize
71,50,24,19.9,67.46,6.45,96.66,maize
65,53,24,19.62,59.75,6.96,69.05,maize
94,47,17,25.84,63.91,6.27,77.96,maize
84,39,19,26.72,60.16,6.49,76.26,maize
91,38,25,22.08,59.72,5.61,68.49,maize
81,43,23,21.88,59.97,6.43,95.34,maize
78,47,31,22.36,73.28,6.71,234.42,wheat
110,63,47,17.06,62.24,6.4,155.71,wheat
97,77,31,16.22,69.04,7.4,181.62,wheat
95,42,33,24.87,79.3,6.01,245.18,wheat
102,75,39,20.16,69.78,7.0,163.97,wheat
71,52,44,17.02,73.47,7.45,159.39,wheat
104,58,47,16.77,73.85,7.26,244.46,wheat
104,60,42,23.69,71.41,6.05,243.09,wheat
104,67,34,21.59,67.88,6.98,160.66,wheat
103,80,31,24.77,68.14,7.31,228.24,wheat
98,70,48,19.04,66.54,7.0,230.78,wheat
108,72,39,23.18,62.4,6.82,150.58,wheat
86,55,38,21.95,67.77,6.67,173.75,wheat
89,49,31,21.03,73.36,6.93,196.35,wheat
89,75,40,19.79,60.51,6.51,188.02,wheat
90,63,41,21.08,75.3,7.22,221.81,wheat
118,41,34,15.08,72.95,7.35,174.35,wheat
116,42,49,18.52,62.03,6.73,175.68,wheat
84,52,46,20.39,66.23,6.92,221.62,wheat
84,57,32,16.81,73.62,6.27,202.52,wheat
105,44,41,17.57,79.26,6.73,230.6,wheat
98,42,43,24.51,72.03,7.23,238.42,wheat
81,48,42,19.11,76.8,7.35,185.34,wheat
82,71,35,23.23,68.47,7.0,159.55,wheat
101,58,42,16.68,74.74,7.29,171.67,wheat
75,41,43,21.07,70.93,6.35,189.09,wheat
100,60,50,16.36,73.9,6.61,192.82,wheat
106,68,50,16.28,62.08,7.09,207.84,wheat
84,43,32,23.94,63.84,6.49,172.67,wheat
88,43,40,15.68,76.01,6.35,204.0,wheat
114,66,41,18.24,66.66,7.0,249.41,wheat
103,62,45,19.65,61.2,6.84,245.76,wheat
79,68,34,20.36,61.93,6.68,225.62,wheat
87,67,46,24.27,64.69,6.6,165.24,wheat
120,77,41,23.42,70.42,6.94,158.91,wheat
108,45,47,22.82,74.17,6.05,180.31,wheat
83,54,32,24.37,71.08,6.46,189.7,wheat
92,64,40,24.19,69.94,7.49,235.14,wheat
80,77,32,23.17,67.61,7.32,236.81,wheat
110,72,36,15.81,68.06,6.26,219.5,wheat
87,79,43,23.22,62.65,7.29,242.28,wheat
94,64,45,16.75,70.05,6.6,164.64,wheat
88,43,31,16.35,79.26,6.82,246.58,wheat
92,52,40,19.4,62.11,6.96,171.6,wheat
101,66,33,15.61,75.62,6.69,155.82,wheat
120,42,44,24.84,64.78,6.21,162.14,wheat
85,44,44,15.62,70.19,7.5,231.4,wheat
101,52,42,20.27,68.52,6.2,238.66,wheat
92,48,37,19.14,76.55,7.1,226.93,wheat
